Rank,Model,F1-Score,ROC-AUC,Accuracy,Precision,Recall,Balanced_Accuracy,Log_Loss,Training_Time_Sec,Prediction_Time_Sec
1,logistic_regression,0.2386634844868735,0.7408864864864865,0.681,0.14534883720930233,0.6666666666666666,0.6744144144144144,0.5895549388424386,1.6865,0.0028
2,xgboost,0.2047244094488189,0.7001225225225226,0.899,0.25,0.17333333333333334,0.5655855855855856,0.3093085244201627,0.3524,0.0267
3,decision_tree,0.19753086419753085,0.5682882882882883,0.87,0.1839080459770115,0.21333333333333335,0.5682882882882883,4.68567494058523,0.1822,0.004
4,random_forest,0.19298245614035087,0.7173765765765765,0.908,0.28205128205128205,0.14666666666666667,0.5581981981981982,0.2841979833813223,0.6675,0.1025
