Rank,Model,F1-Score,ROC-AUC,Accuracy,Precision,Recall,Balanced_Accuracy,Log_Loss,Training_Time_Sec,Prediction_Time_Sec
1,logistic_regression,0.22589531680440772,0.6885333333333334,0.719,0.1423611111111111,0.5466666666666666,0.6398198198198197,0.563060423173979,3.4038,0.0032
2,decision_tree,0.176,0.6534846846846847,0.897,0.22,0.14666666666666667,0.5522522522522523,1.4766164729919677,0.1962,0.0014
3,xgboost,0.14,0.6600216216216216,0.914,0.28,0.09333333333333334,0.5369369369369369,0.3032143096342338,0.4295,0.0331
4,random_forest,0.09411764705882353,0.7079927927927928,0.923,0.4,0.05333333333333334,0.5234234234234234,0.25891614474478175,0.3208,0.1184
